Invoice_ID,Customer_ID,Customer_Name,Customer_Segment,Region,Sales_Channel,Service,Quantity,Unit_Price,Discount_Percentage,Discount_Amount,Tax_Amount,Invoice_Amount,Invoice_Status,Payment_Method,Paid_Amount,Refund_Amount,Net_Collected,Outstanding_Amount,Potential_Leakage,Collection_Rate_%,Leakage_%,Leakage_Risk
INV50000,CUST1163,Customer_164,Smb,North,Online,Cloud Service,4.0,39963.21,10,15985.28,25896.16,169763.72,Paid,Debit Card,169763.72,0.0,169763.72,0.0,0.0,100.0,0.0,Low Risk
INV50001,CUST1055,Customer_56,Smb,West,Direct,Data Service,1.0,57387.86,10,5738.79,9296.83,60945.9,Unpaid,Debit Card,0.0,0.0,0.0,60945.9,60945.9,0.0,100.0,Critical Risk
INV50002,CUST1178,Customer_179,Smb,North,Partner,Cloud Service,3.0,68559.52,10,20567.86,33319.93,218430.63,Overdue,Bank Transfer,0.0,0.0,0.0,218430.63,218430.63,0.0,100.0,Critical Risk
INV50003,CUST1067,Customer_68,Enterprise,East,Online,Support Plan,9.0,22959.75,0,0.0,37194.79,243832.54,Overdue,Cheque,0.0,0.0,0.0,243832.54,243832.54,0.0,100.0,Critical Risk
INV50004,CUST1011,Customer_12,Mid-Market,West,Online,Cloud Service,2.0,22481.49,10,4496.3,7284.0,47750.68,Overdue,Upi,0.0,0.0,0.0,47750.68,47750.68,0.0,100.0,Critical Risk
INV50005,CUST1053,Customer_54,Mid-Market,West,Partner,Software Subscription,10.0,13771.8,5,6885.9,23549.78,154381.88,Paid,Upi,154381.88,0.0,154381.88,0.0,0.0,100.0,0.0,Low Risk
INV50006,CUST1058,Customer_59,Enterprise,East,Direct,Cloud Service,7.0,14646.69,10,10252.68,16609.35,108883.5,Paid,Debit Card,108883.5,0.0,108883.5,0.0,0.0,100.0,0.0,Low Risk
INV50007,CUST1067,Customer_68,Smb,West,Partner,Data Service,9.0,52907.34,10,47616.61,77138.9,505688.35,Unpaid,Credit Card,0.0,0.0,0.0,505688.35,505688.35,0.0,100.0,Critical Risk
INV50008,CUST1193,Customer_194,Smb,North,Partner,Software Subscription,3.0,30241.26,5,4536.19,15513.77,101701.36,Unpaid,Debit Card,0.0,0.0,0.0,101701.36,101701.36,0.0,100.0,Critical Risk
INV50009,CUST1220,Customer_221,Enterprise,East,Partner,Software Subscription,11.0,34198.69,10,37618.56,60942.07,399509.1,Unpaid,Credit Card,0.0,0.0,0.0,399509.1,399509.1,0.0,100.0,Critical Risk
INV50010,CUST1248,Customer_249,Mid-Market,South,Direct,Consulting,9.0,17161.37,0,0.0,27801.42,182253.75,Overdue,Upi,0.0,0.0,0.0,182253.75,182253.75,0.0,100.0,Critical Risk
INV50011,CUST1082,Customer_83,Mid-Market,North,Direct,Software Subscription,6.0,43886.66,10,26332.0,42657.83,279645.79,Paid,Debit Card,279645.79,0.0,279645.79,0.0,0.0,100.0,0.0,Low Risk
INV50012,CUST1168,Customer_169,Mid-Market,South,Online,Data Service,3.0,51119.46,10,15335.84,24844.06,162866.6,Paid,Credit Card,162866.6,0.0,162866.6,0.0,0.0,100.0,0.0,Low Risk
INV50013,CUST1166,Customer_167,Smb,North,Online,Data Service,8.0,18253.97,0,0.0,26285.72,172317.48,Paid,Cheque,172317.48,0.0,172317.48,0.0,0.0,100.0,0.0,Low Risk
INV50014,CUST1018,Customer_19,Mid-Market,North,Online,Software Subscription,4.0,14727.52,0,0.0,10603.81,69513.89,Overdue,Credit Card,0.0,0.0,0.0,69513.89,69513.89,0.0,100.0,Critical Risk
INV50015,CUST1138,Customer_139,Smb,West,Direct,Data Service,10.0,16720.44,25,41801.1,22572.59,147975.89,Paid,Bank Transfer,147975.89,0.0,147975.89,0.0,0.0,100.0,0.0,Low Risk
INV50016,CUST1108,Customer_109,Smb,North,Direct,Software Subscription,11.0,19256.96,0,0.0,38128.78,249955.34,Paid,Credit Card,249955.34,0.0,249955.34,0.0,0.0,100.0,0.0,Low Risk
INV50017,CUST1108,Customer_109,Smb,North,Direct,Support Plan,4.0,20742.69,0,0.0,14934.74,97905.5,Paid,Cheque,97905.5,0.0,97905.5,0.0,0.0,100.0,0.0,Low Risk
INV50018,CUST1042,Customer_43,Smb,North,Partner,Support Plan,4.0,17958.35,20,14366.68,10344.01,67810.73,Overdue,Upi,0.0,0.0,0.0,67810.73,67810.73,0.0,100.0,Critical Risk
INV50019,CUST1178,Customer_179,Enterprise,North,Online,Data Service,11.0,22435.14,25,61696.64,33316.18,218406.08,Paid,Cheque,218406.08,0.0,218406.08,0.0,0.0,100.0,0.0,Low Risk
INV50020,CUST1012,Customer_13,Mid-Market,South,Direct,Data Service,9.0,39428.2,5,17742.69,60680.0,397791.11,Paid,Cheque,397791.11,0.0,397791.11,0.0,0.0,100.0,0.0,Low Risk
INV50021,CUST1030,Customer_31,Enterprise,East,Partner,Data Service,4.0,14393.17,0,0.0,10363.08,67935.76,Partially Paid,Credit Card,30675.37,0.0,30675.37,37260.39,37260.39,45.15,54.85,Critical Risk
INV50022,CUST1101,Customer_102,Smb,North,Partner,Cloud Service,8.0,33371.57,15,40045.88,40846.8,267773.48,Overdue,Cheque,0.0,0.0,0.0,267773.48,267773.48,0.0,100.0,Critical Risk
INV50023,CUST1054,Customer_55,Mid-Market,South,Partner,Consulting,6.0,53467.99,0,0.0,57745.43,378553.37,Overdue,Cheque,0.0,0.0,0.0,378553.37,378553.37,0.0,100.0,Critical Risk
INV50024,CUST1209,Customer_210,Mid-Market,South,Partner,Software Subscription,3.0,24874.59,10,7462.38,12089.05,79250.44,Paid,Upi,79250.44,0.0,79250.44,0.0,0.0,100.0,0.0,Low Risk
INV50025,CUST1175,Customer_176,Mid-Market,North,Direct,Cloud Service,9.0,72814.08,25,163831.68,88469.11,579964.15,Paid,Debit Card,579964.15,0.0,579964.15,0.0,0.0,100.0,0.0,Low Risk
INV50026,CUST1085,Customer_86,Mid-Market,North,Direct,Cloud Service,3.0,25973.9,25,19480.42,10519.43,68960.71,Paid,Bank Transfer,68960.71,0.0,68960.71,0.0,0.0,100.0,0.0,Low Risk
INV50027,CUST1149,Customer_150,Mid-Market,North,Partner,Support Plan,3.0,20427.03,0,0.0,11030.6,72311.69,Paid,Credit Card,72311.69,0.0,72311.69,0.0,0.0,100.0,0.0,Low Risk
INV50028,CUST1199,Customer_200,Mid-Market,South,Direct,Support Plan,10.0,22772.44,5,11386.22,38940.87,255279.05,Overdue,Debit Card,0.0,0.0,0.0,255279.05,255279.05,0.0,100.0,Critical Risk
INV50029,CUST1200,Customer_201,Enterprise,North,Partner,Consulting,5.0,19877.29,5,4969.32,16995.08,111412.21,Unpaid,Credit Card,0.0,0.0,0.0,111412.21,111412.21,0.0,100.0,Critical Risk
INV50030,CUST1078,Customer_79,Enterprise,North,Partner,Consulting,4.0,78792.21,0,0.0,56730.39,371899.23,Partially Paid,Upi,163293.36,0.0,163293.36,208605.87,208605.87,43.91,56.09,Critical Risk
